2018-04-22 12:02:39pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/insert 
2018-04-22 12:02:40pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/add 
2018-04-22 12:03:53pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/insert 
2018-04-22 12:03:53pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/add 
2018-04-22 12:05:18pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/insert 
2018-04-22 12:05:18pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/add 
2018-04-22 12:06:58pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/insert 
2018-04-22 12:06:58pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/add 
2018-04-22 12:09:09pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/insert 
2018-04-22 12:09:10pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/add 
2018-04-22 12:10:48pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/insert 
2018-04-22 12:10:49pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/add 
2018-04-22 12:10:51pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/manage 
2018-04-22 12:11:02pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/edit/108 
2018-04-22 12:11:08pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/update/108 
2018-04-22 12:11:08pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/edit/108 
2018-04-22 12:11:11pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/add 
2018-04-22 12:12:48pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/insert 
2018-04-22 12:12:48pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/add 
2018-04-22 12:15:10pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/insert 
2018-04-22 12:15:10pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/add 
2018-04-22 12:16:47pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/insert 
2018-04-22 12:16:48pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/add 
2018-04-22 12:18:23pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/insert 
2018-04-22 12:18:23pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/add 
2018-04-22 12:21:05pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/insert 
2018-04-22 12:21:05pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/add 
2018-04-22 12:22:29pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/insert 
2018-04-22 12:22:30pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/add 
2018-04-22 12:23:40pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/insert 
2018-04-22 12:23:40pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/add 
2018-04-22 12:24:09pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/grade_manager 
2018-04-22 12:24:24pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/class_manager 
2018-04-22 12:24:48pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/class_manager/update 
2018-04-22 12:24:48pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/class_manager 
2018-04-22 12:25:06pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/class_manager/update 
2018-04-22 12:25:07pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/class_manager 
2018-04-22 12:25:19pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/class_manager/update 
2018-04-22 12:25:19pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/class_manager 
2018-04-22 12:25:26pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/class_manager/update 
2018-04-22 12:25:27pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/class_manager 
2018-04-22 12:25:44pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/class_manager/update 
2018-04-22 12:25:44pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/class_manager 
2018-04-22 12:25:52pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/class_manager/update 
2018-04-22 12:25:52pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/class_manager 
2018-04-22 12:26:04pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/class_manager/update 
2018-04-22 12:26:04pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/class_manager 
2018-04-22 12:26:16pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/class_manager/update 
2018-04-22 12:26:16pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/class_manager 
2018-04-22 12:26:29pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/class_manager/update 
2018-04-22 12:26:29pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/class_manager 
2018-04-22 12:26:43pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/class_manager/update 
2018-04-22 12:26:43pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/class_manager 
2018-04-22 12:26:55pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/class_manager/update 
2018-04-22 12:26:55pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/class_manager 
2018-04-22 12:27:10pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/class_manager/update 
2018-04-22 12:27:10pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/class_manager 
2018-04-22 12:27:22pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/class_manager/update 
2018-04-22 12:27:22pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/class_manager 
2018-04-22 12:27:35pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/reports/employee_reports/employee_list 
2018-04-22 12:27:53pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/add 
2018-04-22 12:28:40pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/insert 
2018-04-22 12:28:40pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/add 
2018-04-22 02:13:41pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/home 
2018-04-22 02:13:50pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/class_manager 
2018-04-22 02:14:09pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/reports/employee_reports/employee_list 
2018-04-22 02:14:39pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/manage 
2018-04-22 02:14:56pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/delete/83 
2018-04-22 02:14:56pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/manage 
2018-04-22 02:15:04pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/class_manager 
