2018-03-02 09:19:31am 192.168.1.153  192.168.1.109/smis/pages/profile/student/add 
2018-03-02 09:22:43am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/home 
2018-03-02 09:24:02am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/home 
2018-03-02 09:24:11am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-03-02 09:24:13am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-03-02 09:24:20am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-03-02 09:24:22am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-03-02 09:24:23am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-03-02 09:24:24am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-03-02 09:24:59am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/home 
2018-03-02 09:26:22am ::1 satishm localhost/smis/pages/home 
2018-03-02 09:28:45am ::1 satishm localhost/smis/pages/home 
2018-03-02 09:51:53am ::1 satishm localhost/smis/pages/home 
2018-03-02 10:00:31am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/home 
2018-03-02 10:00:52am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-03-02 10:05:53am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-03-02 10:05:54am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-03-02 10:06:26am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-03-02 10:09:28am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-03-02 10:09:28am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-03-02 10:11:43am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-03-02 10:16:26am 192.168.1.139 lokeshm 192.168.1.109/smis/pages/home 
2018-03-02 10:28:38am 192.168.1.139 lokeshm 192.168.1.109/smis/pages/home 
2018-03-02 10:28:41am 192.168.1.139 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-03-02 10:32:40am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-03-02 10:32:40am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-03-02 10:32:40am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-03-02 10:32:40am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-03-02 10:34:54am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-03-02 10:34:54am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-03-02 10:38:23am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-03-02 10:38:23am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-03-02 10:38:36am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-03-02 10:39:03am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-03-02 10:39:28am 192.168.1.139 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-03-02 10:39:28am 192.168.1.139 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-03-02 10:40:25am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-03-02 10:40:26am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-03-02 10:40:49am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-03-02 10:42:48am 192.168.1.139 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-03-02 10:42:49am 192.168.1.139 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-03-02 10:43:08am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-03-02 10:43:09am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-03-02 10:43:55am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-03-02 10:43:55am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-03-02 10:45:16am 192.168.1.139 lokeshm 192.168.1.109/smis/pages/home 
2018-03-02 10:45:22am 192.168.1.139 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-03-02 10:45:49am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-03-02 10:45:49am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-03-02 10:45:56am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
