2018-05-14 05:20:44pm 202.166.196.99 aatish smis.apexlifeschool.com/pages/classes/lession_plan/update/1388 
2018-05-14 05:20:44pm 202.166.196.99 aatish smis.apexlifeschool.com/pages/classes/lession_plan/edit 
2018-05-14 05:20:56pm 202.166.196.99 aatish smis.apexlifeschool.com/pages/classes/lession_plan/edit 
2018-05-14 05:24:26pm 202.166.196.99 aatish smis.apexlifeschool.com/pages/classes/lession_plan/update/1388 
2018-05-14 05:24:26pm 202.166.196.99 aatish smis.apexlifeschool.com/pages/classes/lession_plan/edit 
2018-05-14 05:24:35pm 202.166.196.99 aatish smis.apexlifeschool.com/pages/reports/class_reports/list_classes 
2018-05-14 05:24:41pm 202.166.196.99 aatish smis.apexlifeschool.com/pages/classes/lession_plan/course_pointer/1388 
2018-05-14 05:25:01pm 202.166.196.99 atish smis.apexlifeschool.com/pages/home 
2018-05-14 05:25:08pm 202.166.196.99 atish smis.apexlifeschool.com/pages/classes/lession_plan/course_pointer/1388 
2018-05-14 05:26:21pm 202.166.196.99 atish smis.apexlifeschool.com/pages/classes/lession_plan/add_activity 
2018-05-14 05:27:36pm 202.166.196.99 atish smis.apexlifeschool.com/pages/classes/lession_plan/insert_activity 
2018-05-14 05:27:36pm 202.166.196.99 atish smis.apexlifeschool.com/pages/classes/lession_plan/add_activity 
2018-05-14 05:27:39pm 202.166.196.99 atish smis.apexlifeschool.com/pages/home 
2018-05-14 05:27:43pm 202.166.196.99 atish smis.apexlifeschool.com/pages/classes/lession_plan/course_pointer/1388 
2018-05-14 05:28:17pm 202.166.196.99 aatish smis.apexlifeschool.com/pages/home 
2018-05-14 05:28:22pm 202.166.196.99 aatish smis.apexlifeschool.com/pages/classes/course_manager 
2018-05-14 05:29:00pm 202.166.196.99 aatish smis.apexlifeschool.com/pages/classes/course_manager/edit 
2018-05-14 05:29:23pm 202.166.196.99 aatish smis.apexlifeschool.com/pages/classes/course_manager/update 
2018-05-14 05:29:23pm 202.166.196.99 aatish smis.apexlifeschool.com/pages/classes/course_manager 
2018-05-14 05:29:49pm 202.166.196.99 aatish smis.apexlifeschool.com/pages/classes/course_manager/edit 
2018-05-14 05:30:01pm 202.166.196.99 aatish smis.apexlifeschool.com/pages/classes/course_manager/update 
2018-05-14 05:30:01pm 202.166.196.99 aatish smis.apexlifeschool.com/pages/classes/course_manager 
2018-05-14 05:30:57pm 202.166.196.99 aatish smis.apexlifeschool.com/pages/classes/course_manager/edit 
2018-05-14 05:31:12pm 202.166.196.99 aatish smis.apexlifeschool.com/pages/classes/course_manager/update 
2018-05-14 05:31:12pm 202.166.196.99 aatish smis.apexlifeschool.com/pages/classes/course_manager 
2018-05-14 05:31:38pm 202.166.196.99 aatish smis.apexlifeschool.com/pages/classes/course_manager/edit 
2018-05-14 05:31:54pm 202.166.196.99 aatish smis.apexlifeschool.com/pages/classes/course_manager/update 
2018-05-14 05:31:54pm 202.166.196.99 aatish smis.apexlifeschool.com/pages/classes/course_manager 
2018-05-14 05:34:25pm 202.166.196.99  smis.apexlifeschool.com/pages/classes/course_manager 
2018-05-14 05:34:27pm 202.166.196.99 aatish smis.apexlifeschool.com/pages/home 
2018-05-14 05:34:37pm 202.166.196.99 aatish smis.apexlifeschool.com/pages/classes/course_manager 
2018-05-14 05:34:52pm 202.166.196.99 aatish smis.apexlifeschool.com/pages/classes/section_manager 
