2018-03-28 10:41:55am ::1 satishm localhost/smis/pages/ajax/st_evaluation?exam_id=13&st_id=1214&section_id=13 
2018-03-28 10:42:47am ::1 satishm localhost/smis/pages/ajax/st_evaluation?exam_id=13&st_id=1214&section_id=13 
2018-03-28 10:45:20am ::1 satishm localhost/smis/pages/ajax/st_evaluation?exam_id=13&st_id=1214&section_id=13 
2018-03-28 10:45:22am ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-28 10:45:22am ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-28 10:45:25am ::1 satishm localhost/smis/pages/ajax/st_evaluation?exam_id=13&st_id=1214&section_id=13 
2018-03-28 10:46:25am ::1 satishm localhost/smis/pages/ajax/st_evaluation?exam_id=13&st_id=1214&section_id=13 
2018-03-28 10:46:27am ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-28 10:46:27am ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-28 10:46:41am ::1 satishm localhost/smis/pages/ajax/st_evaluation?exam_id=13&st_id=1214&section_id=13 
2018-03-28 10:46:55am ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-28 10:46:55am ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-28 10:46:58am ::1 satishm localhost/smis/pages/ajax/st_evaluation?exam_id=13&st_id=1214&section_id=13 
2018-03-28 10:47:26am ::1 satishm localhost/smis/pages/ajax/st_evaluation?exam_id=13&st_id=1214&section_id=13 
2018-03-28 10:48:01am ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-28 10:48:02am ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-28 10:48:03am ::1 satishm localhost/smis/pages/ajax/st_evaluation?exam_id=13&st_id=1214&section_id=13 
2018-03-28 10:50:50am ::1 satishm localhost/smis/pages/ajax/st_evaluation?exam_id=13&st_id=1214&section_id=13 
2018-03-28 10:57:56am ::1 satishm localhost/smis/pages/classes/class_manager 
2018-03-28 10:58:23am ::1 satishm localhost/smis/theme_option/user_account/lists 
2018-03-28 11:00:38am 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-03-28 11:01:03am 192.168.1.109 satis 192.168.1.109/smis/pages/classes/section_manager/list_student/8 
2018-03-28 11:01:17am ::1 satishm localhost/smis/theme_option/manage_menu 
2018-03-28 11:01:18am ::1 satishm localhost/smis/pages/reports/general_reports/dropped_student_list 
2018-03-28 11:01:18am ::1 satishm localhost/smis/pages/reports/employee_reports/class_teachers 
2018-03-28 11:01:19am ::1 satishm localhost/smis/pages/reports/employee_reports/employee_list_department 
2018-03-28 11:01:40am ::1 satishm localhost/smis/theme_option/user_account/edit/40 
2018-03-28 11:02:16am ::1 satishm localhost/smis/theme_option/user_account/update/40 
2018-03-28 11:02:17am ::1 satishm localhost/smis/theme_option/user_account/edit/40 
2018-03-28 11:02:49am 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-03-28 11:03:05am ::1 satishm localhost/smis/theme_option/user_account/update/40 
2018-03-28 11:03:05am ::1 satishm localhost/smis/theme_option/user_account/edit/40 
2018-03-28 11:03:11am 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-03-28 11:03:13am 192.168.1.109 satis 192.168.1.109/smis/pages/classes/section_manager/list_student/8 
2018-03-28 11:10:05am ::1 satishm localhost/smis/pages/reports/academic_report/class_rank 
2018-03-28 11:10:10am ::1 satishm localhost/smis/pages/reports/academic_report/view_class_rank 
2018-03-28 11:10:11am ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-28 11:10:12am ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-28 11:10:14am ::1 satishm localhost/smis/pages/ajax/st_evaluation?exam_id=13&st_id=1214&section_id=13 
2018-03-28 11:15:23am ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-28 11:15:23am ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-28 11:15:25am ::1 satishm localhost/smis/pages/ajax/pt_evaluation?exam_id=13&st_id=1214&section_id=13 
2018-03-28 11:15:53am ::1 satishm localhost/smis/pages/ajax/pt_evaluation?exam_id=13&st_id=1214&section_id=13 
2018-03-28 11:16:15am ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-28 11:16:15am ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-28 11:16:17am ::1 satishm localhost/smis/pages/ajax/pt_evaluation?exam_id=13&st_id=1214&section_id=13 
2018-03-28 11:17:05am ::1 satishm localhost/smis/pages/ajax/pt_evaluation?exam_id=13&st_id=1214&section_id=13 
2018-03-28 11:17:10am ::1 satishm localhost/smis/pages/ajax/pt_evaluation?exam_id=13&st_id=1214&section_id=13 
2018-03-28 11:18:48am ::1 satishm localhost/smis/pages/ajax/pt_evaluation?exam_id=13&st_id=1214&section_id=13 
2018-03-28 11:18:49am ::1 satishm localhost/smis/pages/ajax/pt_evaluation?exam_id=13&st_id=1214&section_id=13 
2018-03-28 11:18:53am ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-28 11:18:53am ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-28 11:18:56am ::1 satishm localhost/smis/pages/ajax/pt_evaluation?exam_id=13&st_id=1214&section_id=13 
2018-03-28 11:19:05am ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-28 11:19:05am ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-28 11:19:34am ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-28 11:20:47am ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-28 11:20:47am ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-28 11:22:10am ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-28 11:22:10am ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-28 11:23:12am ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-28 11:23:12am ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-28 11:27:57am ::1 satishm localhost/smis/pages/exam/exam_setting 
2018-03-28 11:28:27am ::1 satishm localhost/smis/pages/exam/exam_setting/add_exam 
2018-03-28 11:28:34am ::1 satishm localhost/smis/pages/exam/exam_setting 
2018-03-28 11:30:26am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/home 
2018-03-28 11:30:56am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/home 
2018-03-28 11:38:30am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/general_content/transportation 
2018-03-28 11:38:31am 192.168.1.109 satis 192.168.1.109/smis/pages/classes/section_manager/list_student/8 
2018-03-28 11:38:32am 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-03-28 11:38:51am ::1 satishm localhost/smis/pages/exam/exam_setting/add_exam 
2018-03-28 11:38:54am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/general_content/transportation/add 
2018-03-28 11:38:54am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/general_content/transportation 
2018-03-28 11:38:56am ::1 satishm localhost/smis/pages/exam/exam_setting 
2018-03-28 11:38:57am ::1 satishm localhost/smis/pages/exam/exam_setting 
2018-03-28 11:39:15am 192.168.1.109 satis 192.168.1.109/smis/pages/exam/marks_entry/add/1300 
2018-03-28 11:39:24am ::1 satishm localhost/smis/pages/exam/exam_setting/add_exam 
2018-03-28 11:39:33am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/manage 
2018-03-28 11:39:38am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/manage 
2018-03-28 11:39:40am ::1 satishm localhost/smis/pages/exam/exam_setting 
2018-03-28 11:39:41am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/edit/1214 
2018-03-28 11:39:52am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/update/1214 
2018-03-28 11:39:52am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/edit/1214 
2018-03-28 11:39:59am 192.168.1.109 satis 192.168.1.109/smis/pages/exam/marks_entry/add/1300 
2018-03-28 11:40:11am 192.168.1.109 satis 192.168.1.109/smis/pages/profile/evaluation/list_student/1300 
2018-03-28 11:40:29am ::1 satishm localhost/smis/pages/exam/exam_setting/edit 
2018-03-28 11:40:39am 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-03-28 11:40:55am ::1 satishm localhost/smis/pages/reports/general_reports/student_list 
2018-03-28 11:40:56am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/reports/general_reports/student_list 
2018-03-28 11:41:00am ::1 satishm localhost/smis/pages/reports/general_reports/student_list 
2018-03-28 11:41:02am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/reports/general_reports/student_list 
2018-03-28 11:41:03am 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-03-28 11:41:03am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/details/1214 
2018-03-28 11:41:05am 192.168.1.109 satis 192.168.1.109/smis/pages/classes/section_manager/list_student/8 
2018-03-28 11:41:13am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/details/1215 
2018-03-28 11:41:15am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/details/1214 
2018-03-28 11:41:19am 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-03-28 11:41:23am 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-03-28 11:41:24am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/reports/general_reports/student_overall 
2018-03-28 11:41:27am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/reports/general_reports/student_overall 
2018-03-28 11:41:29am 192.168.1.109 satis 192.168.1.109/smis/pages/classes/attendance/add/1300 
2018-03-28 11:41:40am ::1 satishm localhost/smis/pages/reports/academic_report/class_rank 
2018-03-28 11:41:47am ::1 satishm localhost/smis/pages/classes/section_manager 
2018-03-28 11:42:07am ::1 satishm localhost/smis/pages/reports/general_reports/student_list 
2018-03-28 11:42:24am ::1 satishm localhost/smis/theme_option/user_account/edit/40 
2018-03-28 11:42:33am ::1 satishm localhost/smis/pages/classes/section_manager 
2018-03-28 11:42:53am ::1 satishm localhost/smis/pages/classes/class_manager 
2018-03-28 11:43:15am ::1 satishm localhost/smis/pages/classes/class_manager/update 
2018-03-28 11:43:15am ::1 satishm localhost/smis/pages/classes/class_manager 
2018-03-28 11:43:17am 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-03-28 11:43:34am ::1 satishm localhost/smis/pages/classes/class_manager 
2018-03-28 11:43:45am ::1 satishm localhost/smis/pages/classes/section_manager 
2018-03-28 11:43:49am ::1 satishm localhost/smis/pages/classes/class_manager 
2018-03-28 11:43:57am ::1 satishm localhost/smis/pages/classes/course_manager 
2018-03-28 11:44:13am ::1 satishm localhost/smis/pages/classes/course_manager/edit 
2018-03-28 11:44:25am ::1 satishm localhost/smis/pages/classes/course_manager/update 
2018-03-28 11:44:25am ::1 satishm localhost/smis/pages/classes/course_manager 
2018-03-28 11:44:34am ::1 satishm localhost/smis/pages/classes/course_manager/edit 
