2018-06-15 10:28:34am 192.168.1.153  192.168.1.109/smis/pages/profile/student/add 
2018-06-15 12:43:01pm ::1 satishm localhost/smis/pages/home 
2018-06-15 12:43:15pm ::1 subas localhost/smis/pages/home 
2018-06-15 12:43:15pm ::1 subas localhost/smis/pages/home 
2018-06-15 12:48:02pm ::1 subas localhost/smis/pages/home 
2018-06-15 12:48:02pm ::1 subas localhost/smis/pages/home 
2018-06-15 12:48:41pm ::1 satishm localhost/smis/pages/home 
2018-06-15 12:48:46pm ::1 satishm localhost/smis/pages/classes/grade_manager 
2018-06-15 12:50:42pm ::1 satishm localhost/smis/pages/profile/student/find 
2018-06-15 12:50:45pm ::1 satishm localhost/smis/pages/profile/student/find 
2018-06-15 12:50:47pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-06-15 12:50:47pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-06-15 12:50:56pm ::1 satishm localhost/smis/pages/classes/lession_plan/course_pointer/1507 
2018-06-15 12:51:03pm ::1 satishm localhost/smis/pages/home 
2018-06-15 12:51:41pm ::1 satishm localhost/smis/pages/profile/student/find 
2018-06-15 12:51:50pm ::1 satishm localhost/smis/pages/profile/student/find 
2018-06-15 12:51:58pm ::1 satishm localhost/smis/pages/profile/student/find 
2018-06-15 12:52:06pm ::1 satishm localhost/smis/pages/profile/student/find 
2018-06-15 12:52:16pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-06-15 12:52:16pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-06-15 12:54:27pm ::1 satishm localhost/smis/pages/classes/lession_plan/course_pointer/1507 
2018-06-15 12:57:43pm ::1 subas localhost/smis/pages/home 
2018-06-15 12:57:43pm ::1 subas localhost/smis/pages/home 
2018-06-15 01:00:20pm ::1 satishm localhost/smis/pages/reports/academic_report/view_marksheet/1214 
2018-06-15 01:00:27pm ::1 satishm localhost/smis/pages/reports/academic_report/view_marksheet/1214 
2018-06-15 01:00:27pm ::1 satishm localhost/smis/pages/reports/academic_report/view_marksheet/1214 
2018-06-15 01:01:16pm ::1 satishm localhost/smis/pages/profile/student/find 
2018-06-15 01:01:19pm ::1 satishm localhost/smis/pages/profile/student/find 
2018-06-15 01:02:01pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-06-15 01:02:01pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-06-15 01:09:13pm ::1 satishm localhost/smis/pages/reports/general_reports/student_list 
2018-06-15 01:09:20pm ::1 satishm localhost/smis/pages/reports/general_reports/student_list 
2018-06-15 01:09:25pm ::1 satishm localhost/smis/pages/reports/general_reports/student_list 
2018-06-15 01:09:32pm ::1 satishm localhost/smis/pages/reports/general_reports/student_list 
2018-06-15 01:09:55pm ::1 satishm localhost/smis/pages/reports/class_reports/list_classes 
2018-06-15 01:10:13pm ::1 satishm localhost/smis/pages/classes/lession_plan/course_pointer/1515 
2018-06-15 01:12:26pm ::1 satishm localhost/smis/pages/reports/academic_report/st_attendance_report 
2018-06-15 01:12:56pm ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_attendance 
2018-06-15 01:14:26pm ::1 satishm localhost/smis/pages/reports/employee_reports/employee_list 
2018-06-15 01:14:41pm ::1 satishm localhost/smis/pages/notification 
2018-06-15 01:15:32pm ::1 satishm localhost/smis/pages/reports/general_reports/bus_time_table 
2018-06-15 01:16:59pm ::1 satishm localhost/smis/pages/reports/general_reports/student_by_bus 
