2018-04-26 09:10:06am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 09:10:06am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 09:10:19am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 09:10:19am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 09:10:30am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 09:10:30am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 09:10:41am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 09:10:41am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 09:10:51am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 09:10:51am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:09:06am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/home 
2018-04-26 10:09:12am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:09:21am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:09:21am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:09:34am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:09:34am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:09:47am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:09:47am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:09:59am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:09:59am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:13:54am ::1 satishm localhost/smis/pages/home 
2018-04-26 10:13:58am ::1 satishm localhost/smis/pages/reports/general_reports/student_list 
2018-04-26 10:14:03am ::1 satishm localhost/smis/pages/reports/general_reports/student_list 
2018-04-26 10:15:43am ::1 satishm localhost/smis/pages/reports/general_reports/student_list 
2018-04-26 10:16:26am ::1 satishm localhost/smis/pages/reports/general_reports/student_list 
2018-04-26 10:24:04am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:24:04am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:24:23am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:24:23am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:24:35am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:24:35am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:24:52am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:24:52am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:25:04am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:25:04am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:25:16am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:25:16am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:25:25am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:25:25am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:25:34am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:25:34am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:25:55am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:26:10am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:26:10am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:26:23am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:26:23am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:26:34am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:26:34am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:26:50am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:26:50am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:27:00am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:27:00am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:27:12am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:27:12am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:27:22am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:27:22am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:27:38am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:27:38am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:27:50am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:27:50am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:28:04am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:28:04am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:28:14am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:28:14am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:28:26am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:28:26am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:28:39am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:28:40am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:28:53am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:28:53am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:29:09am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:29:09am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:33:46am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/home 
2018-04-26 10:37:40am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:37:41am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:37:50am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:37:50am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:38:01am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:38:01am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:38:21am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:38:21am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:38:34am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:38:34am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:38:44am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:38:44am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:38:56am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:38:56am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:39:16am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:39:16am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:39:27am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:39:27am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:39:37am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:39:37am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:39:47am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:39:47am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:40:02am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:40:02am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:40:29am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/subject_manager 
2018-04-26 10:40:45am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/subject_manager/update 
2018-04-26 10:40:45am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/subject_manager 
2018-04-26 10:40:48am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:40:59am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:40:59am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:41:10am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:41:10am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:41:19am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:41:19am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:41:35am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:41:35am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:41:46am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:41:46am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:41:57am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:41:57am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:42:14am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:42:14am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:42:26am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:42:26am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:42:40am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:42:40am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:43:04am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:43:04am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:43:14am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:43:15am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:43:27am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:43:27am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:43:39am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:43:39am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:43:55am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:43:55am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:44:04am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
