2018-04-05 10:07:10am ::1 satishm localhost/smis/pages/ajax/st_appraisal?exam_id=2&st_id=1217&section_id=13 
2018-04-05 10:07:12am ::1 satishm localhost/smis/pages/ajax/pt_evaluation?exam_id=2&st_id=1217&section_id=13 
2018-04-05 10:07:14am ::1 satishm localhost/smis/pages/ajax/pt_evaluation?exam_id=2&st_id=1215&section_id=13 
2018-04-05 10:07:16am ::1 satishm localhost/smis/pages/ajax/pt_evaluation?exam_id=2&st_id=1214&section_id=13 
2018-04-05 10:07:24am 192.168.1.109 satis 192.168.1.109/smis/pages/classes/section_manager/list_student/13 
2018-04-05 10:07:30am 192.168.1.109 satis 192.168.1.109/smis/pages/profile/evaluation/parent_class_evaluation/13 
2018-04-05 10:07:38am 192.168.1.109 satis 192.168.1.109/smis/pages/profile/evaluation/parent_evaluation 
2018-04-05 10:07:51am ::1 satishm localhost/smis/pages/ajax/pt_evaluation?exam_id=2&st_id=1292&section_id=13 
2018-04-05 10:09:47am ::1 satishm localhost/smis/pages/ajax/st_evaluation?exam_id=2&st_id=1214&section_id=13 
2018-04-05 10:09:51am ::1 satishm localhost/smis/pages/ajax/pt_evaluation?exam_id=2&st_id=1214&section_id=13 
2018-04-05 10:10:04am ::1 satishm localhost/smis/pages/ajax/st_evaluation?exam_id=2&st_id=1214&section_id=13 
2018-04-05 10:13:25am 192.168.1.109 satis 192.168.1.109/smis/pages/profile/evaluation/st_terminal_comment/13 
2018-04-05 10:18:44am 192.168.1.109 satis 192.168.1.109/smis/pages/classes/section_manager/list_student/13 
2018-04-05 10:18:51am ::1 satishm localhost/smis/pages/reports/academic_report/student_evaluation_overall 
2018-04-05 10:18:58am ::1 satishm localhost/smis/pages/reports/academic_report/list_student/13 
2018-04-05 10:19:40am ::1 satishm localhost/smis/pages/reports/academic_report/student_evaluation_overall 
2018-04-05 10:19:45am ::1 satishm localhost/smis/pages/reports/academic_report/list_student/13 
2018-04-05 10:20:00am 192.168.1.109 satis 192.168.1.109/smis/pages/profile/evaluation/st_terminal_comment/13 
2018-04-05 10:20:51am ::1 satishm localhost/smis/pages/reports/academic_report/student_evaluation_overall 
2018-04-05 10:20:57am ::1 satishm localhost/smis/pages/reports/academic_report/list_student/13 
2018-04-05 10:26:16am ::1 satishm localhost/smis/pages/reports/academic_report/list_student/13 
2018-04-05 10:26:50am ::1 satishm localhost/smis/pages/reports/academic_report/list_student/13 
2018-04-05 10:32:14am ::1 satishm localhost/smis/pages/reports/academic_report/list_student/13 
2018-04-05 10:32:31am ::1 satishm localhost/smis/pages/reports/academic_report/list_student/13 
2018-04-05 10:32:33am ::1 satishm localhost/smis/pages/ajax/st_evaluation?exam_id=2&st_id=1214&section_id=13 
2018-04-05 10:33:03am ::1 satishm localhost/smis/pages/ajax/pt_evaluation?exam_id=2&st_id=1214&section_id=13 
2018-04-05 10:33:16am ::1 satishm localhost/smis/pages/reports/academic_report/list_student/13 
2018-04-05 10:33:18am ::1 satishm localhost/smis/pages/ajax/st_evaluation?exam_id=2&st_id=1214&section_id=13 
2018-04-05 10:33:21am ::1 satishm localhost/smis/pages/ajax/pt_evaluation?exam_id=2&st_id=1214&section_id=13 
2018-04-05 10:33:24am ::1 satishm localhost/smis/pages/ajax/st_appraisal?exam_id=2&st_id=1214&section_id=13 
2018-04-05 10:35:40am ::1 satishm localhost/smis/pages/reports/academic_report/list_student/13 
2018-04-05 10:35:42am ::1 satishm localhost/smis/pages/ajax/st_evaluation?exam_id=18&st_id=1214&section_id=13 
2018-04-05 10:35:44am ::1 satishm localhost/smis/pages/ajax/pt_evaluation?exam_id=18&st_id=1214&section_id=13 
2018-04-05 10:35:46am ::1 satishm localhost/smis/pages/ajax/st_appraisal?exam_id=18&st_id=1214&section_id=13 
2018-04-05 10:35:55am ::1 satishm localhost/smis/pages/ajax/sst_evaluation?exam_id=18&st_id=1214&subject_id=121 
2018-04-05 10:35:57am ::1 satishm localhost/smis/pages/ajax/st_evaluation?exam_id=18&st_id=1214&section_id=13 
2018-04-05 10:36:01am ::1 satishm localhost/smis/pages/ajax/sst_evaluation?exam_id=18&st_id=1214&subject_id=123 
2018-04-05 10:36:07am ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-04-05 10:36:07am ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-04-05 10:36:14am ::1 satishm localhost/smis/pages/ajax/sst_evaluation?exam_id=34&st_id=1214&subject_id=121 
2018-04-05 10:36:17am ::1 satishm localhost/smis/pages/ajax/sst_evaluation?exam_id=34&st_id=1214&subject_id=125 
2018-04-05 10:36:24am ::1 satishm localhost/smis/pages/reports/academic_report/list_student/13 
2018-04-05 10:36:32am ::1 satishm localhost/smis/pages/ajax/sst_evaluation?exam_id=34&st_id=1214&subject_id=125 
2018-04-05 10:36:37am ::1 satishm localhost/smis/pages/ajax/sst_evaluation?exam_id=34&st_id=1214&subject_id=125 
2018-04-05 10:36:42am ::1 satishm localhost/smis/pages/classes/lession_plan/course_pointer/1384 
2018-04-05 10:39:05am ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-04-05 10:39:05am ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-04-05 10:39:21am 192.168.1.109 satis 192.168.1.109/smis/pages/profile/evaluation/list_student/1379 
2018-04-05 10:40:24am 192.168.1.109 satis 192.168.1.109/smis/pages/profile/evaluation/list_student/1379 
