2018-02-09 08:33:02am 192.168.1.153  192.168.1.109/smis/pages/profile/student/add 
2018-02-09 08:49:43am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/home 
2018-02-09 08:49:56am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-09 08:53:36am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-02-09 08:53:36am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-09 08:54:08am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-09 09:01:08am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-02-09 09:01:08am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-09 09:14:44am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-02-09 09:14:44am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-09 09:14:50am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-09 09:14:50am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-09 09:19:06am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-02-09 09:19:06am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-09 09:19:11am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-09 09:23:06am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-02-09 09:23:06am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-09 09:23:43am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-09 09:26:58am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-02-09 09:26:59am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-09 09:27:49am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/home 
2018-02-09 09:30:00am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-09 09:40:33am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-02-09 09:40:33am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
