2018-03-30 08:44:16am 192.168.1.153  192.168.1.109/smis/pages/profile/student/add 
2018-03-30 08:44:59am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/home 
2018-03-30 08:45:18am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/classes/course_manager 
2018-03-30 08:46:25am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/classes/course_manager/add 
2018-03-30 08:46:26am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/classes/course_manager 
2018-03-30 08:48:02am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/classes/course_manager/add 
2018-03-30 08:48:03am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/classes/course_manager 
2018-03-30 08:49:11am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/classes/course_manager/add 
2018-03-30 08:49:11am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/classes/course_manager 
2018-03-30 08:51:06am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/classes/course_manager/add 
2018-03-30 08:51:06am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/classes/course_manager 
2018-03-30 08:52:11am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/classes/course_manager/add 
2018-03-30 08:52:11am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/classes/course_manager 
2018-03-30 08:53:06am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/classes/course_manager/add 
2018-03-30 08:53:06am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/classes/course_manager 
2018-03-30 08:53:35am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/exam/exam_setting 
2018-03-30 08:54:09am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/exam/exam_setting/add_exam 
2018-03-30 08:54:09am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/exam/exam_setting 
2018-03-30 08:55:04am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/exam/exam_setting/add_exam 
2018-03-30 08:55:04am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/exam/exam_setting 
2018-03-30 08:55:26am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/exam/exam_setting/add_exam 
2018-03-30 08:55:33am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/exam/exam_setting 
2018-03-30 08:56:06am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/exam/exam_setting 
2018-03-30 08:56:25am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/exam/exam_setting/add_exam 
2018-03-30 08:56:36am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/exam/exam_setting 
2018-03-30 08:56:42am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/exam/exam_setting 
2018-03-30 08:56:58am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/exam/exam_setting/add_exam 
2018-03-30 08:56:59am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/exam/exam_setting 
2018-03-30 08:57:20am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/exam/exam_setting/add_exam 
2018-03-30 08:57:20am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/exam/exam_setting 
2018-03-30 08:57:39am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/exam/exam_setting/add_exam 
2018-03-30 08:57:40am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/exam/exam_setting 
2018-03-30 08:58:03am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/exam/exam_setting/add_exam 
2018-03-30 08:58:03am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/exam/exam_setting 
2018-03-30 08:58:22am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/exam/marks_entry 
2018-03-30 08:58:50am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting 
2018-03-30 09:01:19am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting/add_assessment 
2018-03-30 09:01:19am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting 
2018-03-30 09:02:00am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting/add_assessment 
2018-03-30 09:02:01am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting 
2018-03-30 09:02:31am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting/add_assessment 
2018-03-30 09:02:31am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting 
2018-03-30 09:03:04am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting/add_assessment 
2018-03-30 09:03:04am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting 
2018-03-30 09:03:27am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting/add_assessment 
2018-03-30 09:03:27am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting 
2018-03-30 09:03:51am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting/add_assessment 
2018-03-30 09:03:51am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting 
2018-03-30 09:04:48am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting/add_assessment 
2018-03-30 09:04:49am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting 
2018-03-30 09:05:17am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting/add_assessment 
