2018-04-16 01:06:11pm 192.168.1.237 lokeshm 192.168.1.109/smis/pages/profile/student_photo 
2018-04-16 01:06:15pm 192.168.1.237 lokeshm 192.168.1.109/smis/pages/home 
2018-04-16 01:06:35pm 192.168.1.237 lokeshm 192.168.1.109/smis/pages/reports/general_reports/student_list 
2018-04-16 01:06:41pm 192.168.1.237 lokeshm 192.168.1.109/smis/pages/reports/general_reports/student_list 
2018-04-16 01:09:11pm ::1 satishm localhost/smis/pages/classes/lession_plan/course_pointer/1385 
2018-04-16 01:16:06pm 192.168.1.237 lokeshm 192.168.1.109/smis/pages/profile/student/class_reassign 
2018-04-16 01:16:14pm 192.168.1.237 lokeshm 192.168.1.109/smis/pages/profile/student/class_reassign 
2018-04-16 01:17:14pm 192.168.1.237 subas 192.168.1.109/smis/pages/home 
2018-04-16 01:17:14pm 192.168.1.237 subas 192.168.1.109/smis/pages/home 
2018-04-16 01:17:59pm 192.168.1.237 lokeshm 192.168.1.109/smis/pages/home 
2018-04-16 01:18:10pm 192.168.1.237 lokeshm 192.168.1.109/smis/pages/classes/section_manager 
