2018-02-07 03:01:13pm 192.168.1.109 satis 192.168.1.109/smis/pages/classes/section_manager/list_student/1300 
2018-02-07 03:01:15pm 192.168.1.109 satis 192.168.1.109/smis/pages/classes/section_manager/list_student/1300 
2018-02-07 03:01:26pm 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-02-07 03:01:42pm 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-02-07 03:01:48pm 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-02-07 03:01:51pm 192.168.1.109 satis 192.168.1.109/smis/pages/classes/section_manager/list_student/8 
2018-02-07 03:03:54pm 192.168.1.109 satis 192.168.1.109/smis/pages/classes/section_manager/list_student/8 
2018-02-07 03:35:37pm 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-02-07 03:36:29pm 192.168.1.109 satis 192.168.1.109/smis/pages/profile/evaluation/list_student/1295 
2018-02-07 03:45:46pm 192.168.1.109 satis 192.168.1.109/smis/pages/profile/evaluation/list_student/1295 
2018-02-07 03:45:58pm 192.168.1.109 satis 192.168.1.109/smis/pages/profile/evaluation/list_student/1295 
2018-02-07 03:46:38pm 192.168.1.109 satis 192.168.1.109/smis/pages/profile/evaluation/list_student/1295 
2018-02-07 03:46:49pm 192.168.1.109 satis 192.168.1.109/smis/pages/profile/evaluation/list_student/1295 
2018-02-07 03:47:00pm 192.168.1.109 satis 192.168.1.109/smis/pages/profile/evaluation/list_student/1295 
2018-02-07 03:48:02pm 192.168.1.109 satis 192.168.1.109/smis/pages/profile/evaluation/list_student/1295 
2018-02-07 03:48:22pm 192.168.1.109 satis 192.168.1.109/smis/pages/profile/evaluation/list_student/1295 
2018-02-07 03:51:01pm 192.168.1.109 satis 192.168.1.109/smis/pages/classes/section_manager/list_student/8 
2018-02-07 03:52:07pm 192.168.1.109 satis 192.168.1.109/smis/pages/classes/section_manager/list_student/8 
2018-02-07 03:52:42pm 192.168.1.109 satis 192.168.1.109/smis/pages/classes/section_manager/list_student/8 
2018-02-07 03:52:53pm 192.168.1.109 satis 192.168.1.109/smis/pages/classes/section_manager/list_student/8 
2018-02-07 03:55:12pm ::1 satishm localhost/smis/pages/classes/evaluation_criteria_manager 
2018-02-07 03:55:15pm ::1 satishm localhost/smis/pages/classes/evaluation_criteria_manager/get_evaluation_option/3 
2018-02-07 03:55:20pm ::1 satishm localhost/smis/pages/classes/evaluation_criteria_manager/get_evaluation_option/2 
2018-02-07 03:56:32pm ::1 satishm localhost/smis/pages/classes/evaluation_criteria_manager/get_evaluation_option/2 
2018-02-07 03:56:34pm ::1 satishm localhost/smis/pages/classes/evaluation_criteria_manager/get_evaluation_option/1 
2018-02-07 03:56:39pm ::1 satishm localhost/smis/pages/classes/evaluation_criteria_manager/add_option/1 
2018-02-07 03:56:39pm ::1 satishm localhost/smis/pages/classes/evaluation_criteria_manager/get_evaluation_option/1 
2018-02-07 03:57:05pm 192.168.1.109 satis 192.168.1.109/smis/pages/classes/section_manager/list_student/8 
2018-02-07 03:59:13pm 192.168.1.109 satis 192.168.1.109/smis/pages/profile/evaluation/add_evaluation 
2018-02-07 03:59:58pm 192.168.1.109 satis 192.168.1.109/smis/pages/classes/section_manager/list_student/8 
2018-02-07 03:59:59pm 192.168.1.109 satis 192.168.1.109/smis/pages/profile/evaluation/add_evaluation 
2018-02-07 04:00:49pm 192.168.1.109 satis 192.168.1.109/smis/pages/profile/evaluation/add_evaluation 
2018-02-07 04:01:05pm 192.168.1.109 satis 192.168.1.109/smis/pages/profile/evaluation/add_evaluation 
