2018-02-23 07:59:31am 192.168.1.153  192.168.1.109/smis/pages/profile/student/insert 
2018-02-23 07:59:34am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/home 
2018-02-23 08:00:27am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-23 08:00:30am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-23 08:02:37am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-02-23 08:02:37am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-23 08:03:06am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-23 08:06:04am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-02-23 08:06:04am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-23 08:06:59am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-23 08:09:36am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-02-23 08:09:36am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-23 08:09:58am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-23 08:12:00am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-02-23 08:12:00am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-23 08:12:23am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-23 08:16:16am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-02-23 08:16:16am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-23 08:16:44am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/home 
2018-02-23 08:16:47am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-23 08:16:53am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-23 08:20:14am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-02-23 08:20:14am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-23 08:23:22am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-02-23 08:23:22am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-23 08:24:01am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-23 08:46:38am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-02-23 08:46:38am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-23 08:47:20am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-23 08:53:15am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-02-23 08:53:15am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-23 08:53:50am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-23 08:56:12am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-02-23 08:56:13am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-23 08:56:17am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-23 09:18:40am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-02-23 09:18:40am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-23 09:19:24am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-23 09:21:49am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-02-23 09:21:49am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-23 09:22:27am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-23 09:25:43am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-02-23 09:25:43am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-23 09:26:51am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-23 09:28:55am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-02-23 09:28:55am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-23 09:31:23am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-02-23 09:31:23am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-23 09:31:48am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-23 09:33:47am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-02-23 09:33:47am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-23 09:34:09am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-23 09:34:20am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/classes/class_manager 
