2018-02-06 07:59:49am 192.168.1.153  192.168.1.109/smis/pages/profile/student/add 
2018-02-06 08:22:21am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/home 
2018-02-06 08:22:32am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-06 08:47:56am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-02-06 08:47:56am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-06 09:16:11am ::1  localhost/smis/pages/exam/marks_entry 
2018-02-06 09:16:12am ::1  localhost/smis/theme_option/manage_menu 
2018-02-06 09:19:09am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/home 
2018-02-06 09:19:26am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/home 
2018-02-06 09:20:01am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/home 
2018-02-06 09:20:38am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-06 10:06:28am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-02-06 10:06:28am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-06 10:07:47am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-06 10:12:05am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-02-06 10:12:05am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-06 10:12:44am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-06 10:19:37am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/home 
2018-02-06 10:19:41am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-06 10:19:41am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-06 10:20:59am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-06 10:54:20am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/home 
2018-02-06 10:55:20am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/home 
2018-02-06 10:55:46am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/home 
2018-02-06 10:57:50am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-06 01:10:22pm 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-02-06 01:10:26pm 192.168.1.109 satis 192.168.1.109/smis/pages/profile/evaluation/list_student/1295 
2018-02-06 01:17:48pm ::1  localhost/smis/pages/classes/evaluation_criteria_manager 
