2018-03-27 09:50:10am ::1  localhost/smis/pages/profile/student/details/1214 
2018-03-27 09:50:13am ::1 satishm localhost/smis/pages/home 
2018-03-27 09:50:14am ::1 satishm localhost/smis/pages/home 
2018-03-27 09:50:16am ::1 satishm localhost/smis/pages/home 
2018-03-27 09:50:18am ::1 satishm localhost/smis/pages/home 
2018-03-27 09:50:31am ::1 satishm localhost/smis/pages/reports/general_reports/student_list 
2018-03-27 09:50:36am ::1 satishm localhost/smis/pages/reports/general_reports/student_list 
2018-03-27 09:50:37am ::1 satishm localhost/smis/pages/profile/student/details/1218 
2018-03-27 09:50:37am ::1 satishm localhost/smis/pages/profile/student/details/1218 
2018-03-27 09:51:52am ::1 satishm localhost/smis/pages/profile/student/details/1218 
2018-03-27 09:52:44am ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-27 09:54:20am ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-27 09:54:20am ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-27 11:18:22am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/home 
2018-03-27 11:18:25am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/reports/academic_report/class_rank 
2018-03-27 11:18:30am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/reports/academic_report/view_class_rank 
2018-03-27 11:18:32am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/details/1214 
2018-03-27 11:18:32am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/details/1214 
2018-03-27 11:49:29am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/manage 
2018-03-27 11:49:36am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/manage 
2018-03-27 11:49:54am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/manage 
2018-03-27 11:50:16am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/manage 
2018-03-27 11:50:33am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/reports/general_reports/student_list 
2018-03-27 11:50:40am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/reports/general_reports/student_list 
2018-03-27 11:50:58am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/reports/general_reports/student_list 
2018-03-27 11:51:06am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/reports/general_reports/student_list 
2018-03-27 11:51:12am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/reports/general_reports/student_list 
